Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial-time solvable using simplex or interior point methods.,Maximize profit given production constraints.,10
9,Integer Programming,IP,Optimization where some or all decision variables must be integers.,"Generally NP-hard; solvable via branch-and-bound, cutting planes, or heuristics.",Scheduling workers with shift constraints.,9
8,Mixed-Integer Linear Programming,MILP,Linear programming with some decision variables restricted to integers.,NP-hard; solved with advanced branch-and-bound and branch-and-cut methods.,Facility location problems.,8
7,Quadratic Programming,QP,Optimization with a quadratic objective function and linear constraints.,Convex QP solvable in polynomial time; non-convex QP is NP-hard.,Portfolio optimization with risk minimization.,7
6,Nonlinear Programming,NLP,Optimization where the objective function or constraints are nonlinear.,Solvability depends on convexity; general NLP is hard.,Optimal design of engineering structures.,6
5,Convex Optimization,CO,Optimization where the objective and feasible region are convex.,Polynomial-time solvable using interior point methods.,Support vector machine training.,5
4,Dynamic Programming,DP,Breaks problems into overlapping subproblems and solves them recursively.,Polynomial or exponential depending on state space size.,Shortest path in a weighted graph.,4
3,Stochastic Programming,SP,Optimization under uncertainty where data is represented via probability distributions.,Complex; often approximated via sampling or scenario methods.,Energy grid planning with uncertain demand.,3
2,Combinatorial Optimization,CO,Optimization over a discrete but large set of feasible solutions.,Generally NP-hard; solved with heuristics or approximation algorithms.,Traveling salesman problem.,2
1,Multi-Objective Optimization,MOO,Optimization with multiple conflicting objectives.,Solutions form a Pareto frontier; exact methods are hard.,Balancing cost and performance in design.,1
