ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,task_assignment,Assignment of worker to task,String,"{0,1}",0,1
DV1,sprint_inclusion,Whether a user story is included in current sprint,Integer,"{0,1}",0,1
DV2,story_point_estimate,Estimated effort for a user story,Integer,,1,13
DV3,task_effort_planned,Planned effort for a task in hours,Float,,0,40
DV4,team_composition_selection,Choice of team members for project,Integer,"{0,1}",0,1
DV5,release_version_selection,Whether a feature is included in release,Integer,"{0,1}",0,1
DV6,refinement_effort_per_story,Time spent refining each user story,Float,,0,8
DV7,scrum_master_workload,Weekly hours allocated to Scrum Master duties,Float,,0,20
DV8,product_owner_availability,Availability of PO in hours per week,Float,,0,40
DV9,documentation_effort_per_feature,Hours spent documenting a feature,Float,,0,16
DV10,sprint_duration_weeks,Length of sprint in weeks,Integer,,2,4
DV11,planned_sprint_goals,Number of goals per sprint,Integer,,1,3
DV12,worker_role_assignment,Assigning role to worker,Integer,"{0,1}",0,1
DV13,feature_priority_rank,Priority rank of a feature,Integer,,1,10
DV14,velocity_projection,Predicted velocity for next sprint,Float,,0,50
