ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Whether a worker is assigned to a specific team,Integer,{0,1},0,1
DV1,select_feature_for_release,Whether a feature is included in the next release plan,Integer,{0,1},0,1
DV2,assign_story_points,The number of story points assigned to a user story,Integer,Z+,1,20
DV3,set_sprint_duration,The duration of a sprint in days,Integer,Z+,7,30
DV4,allocate_budget_to_feature,The amount of budget allocated to develop a feature,Real,R+,0,1000000
DV5,team_velocity_target,The target velocity for a team in the next sprint,Integer,Z+,0,50
DV6,start_sprint_date,The start date of a sprint,Date,YYYY-MM-DD,2023-01-01,2023-12-31
DV7,worker_availability_percent,The percentage of time a worker is available for project work,Real,[0,1],0.0,1.0
DV8,assign_task_priority,The priority level of a task,Integer,{1,2,3},1,3
DV9,number_of_sprint_reviews,The number of sprint reviews planned for a release,Integer,Z+,1,10
