ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_availability,Maximize the overall availability of team members to ensure capacity,True,max,Worker,availability,2,1.0
G1,minimize_blocker_severity,Minimize the severity of active blockers to reduce project risk,False,min,Blocker,severity,2,1.5
G2,maximize_feature_priority,Maximize the total priority of features selected for the release,True,max,Feature,priority,2,1.0
G3,minimize_sprint_effort_variance,Minimize the difference between estimated and actual effort in the sprint backlog,False,min,SprintBacklog,total_effort,2,0.8
G4,maximize_velocity,Maximize the team's average velocity to improve throughput,False,max,Velocity,avg._story_points,2,1.2
G5,maximize_stakeholder_satisfaction,Maximize stakeholder satisfaction as measured in the sprint review,False,max,SprintReview,feedback_documentation,1,1.0
G6,minimize_project_budget,Minimize the total project budget spent,False,min,Project,budget,2,0.9
G7,maximize_skill_coverage,Maximize the coverage of required skills within the team,True,max,Skill,level,1,1.1
G8,minimize_task_duration,Minimize the time taken to complete tasks,False,min,Task,effort,2,1.0
G9,maximize_sprint_goal_achievement,Maximize the rate of achieved sprint goals,True,max,SprintGoal,achievement_status,2,1.3
