ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary decision to assign a worker to a specific team,Integer,{0,1},0,1
DV1,select_feature_for_release,Binary decision to include a feature in the next release plan,Integer,{0,1},0,1
DV2,allocate_story_points,Number of story points to assign to a user story,Integer,"Positive Integers",1,20
DV3,set_sprint_duration,The duration of a sprint in days,Integer,"Positive Integers",7,28
DV4,assign_task_to_worker,Binary decision to assign a specific task to a specific worker,Integer,{0,1},0,1
DV5,team_size_target,The target size for a team,Integer,"Positive Integers",3,9
DV6,prioritize_epic,Numerical priority level assigned to an epic,Integer,"1=Low, 2=Medium, 3=High, 4=Critical",1,4
DV7,budget_allocated_to_feature,Amount of budget allocated to develop a specific feature,Float,"Positive Real Numbers",0.0,1000000.0
DV8,select_retrospective_action,Binary decision to implement an improvement action from a retrospective,Integer,{0,1},0,1
DV9,number_of_sprints,Total number of sprints planned for the project,Integer,"Positive Integers",1,50
