ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
D1,Team Size,Number of members assigned to a team,team_size,Team,Integer,3,9
D2,Sprint Length,Duration of a sprint in days,sprint_length,Sprint,Integer,7,30
D3,Budget Allocation,Planned budget for the project in EUR,project_budget,Project,Float,0,1000000
D4,Story Points per Sprint,Total story points planned each sprint,story_points_allocation,Sprint Backlog,Integer,10,50
D5,Testing Hours per Feature,Hours allocated for testing each feature,testing_hours_feature,Feature Documentation,Float,1,40
D6,Releases per Year,Number of major releases scheduled per year,releases_per_year,Release Plan,Integer,1,12
D7,Sprints per Release,Number of sprints included in a release,sprints_per_release,Release Plan,Integer,1,12
D8,Features per Release,Count of features to include in a release,features_per_release,Release Plan,Integer,1,20
D9,Tasks per Sprint,Number of tasks to plan each sprint,tasks_per_sprint,Sprint Backlog,Integer,5,100
D10,Scrum Master Hours,Scrum Master support hours per sprint,scrum_master_hours,Scrum Master,Float,0,40
D11,Retrospective Duration,Minutes allocated for each retrospective,retrospective_duration,Sprint Retrospective,Integer,30,180
