ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_velocity,Integer representing team velocity,Integer,{0, 1, 2, ..., 100},0,100
D1,blocker_severity,Integer representing blocker severity,Integer,{0, 1, 2, ..., 10},0,10
D2,sprint_goal_achievement,Boolean representing sprint goal achievement,Boolean,{0,1},0,1
D3,task_effort,Integer representing task effort,Integer,{0, 1, 2, ..., 100},0,100
D4,feature_priority,Integer representing feature priority,Integer,{0, 1, 2, ..., 10},0,10
D5,sprint_retrospective_improvement_actions,Integer representing sprint retrospective improvement actions,Integer,{0, 1, 2, ..., 10},0,10
D6,product_owner_availability,Integer representing product owner availability,Integer,{0, 1, 2, ..., 100},0,100
D7,task_blockers,Integer representing task blockers,Integer,{0, 1, 2, ..., 10},0,10
D8,scrum_master_experience,Integer representing scrum master experience,Integer,{0, 1, 2, ..., 10},0,10
D9,development_snapshot_bugs,Integer representing development snapshot bugs,Integer,{0, 1, 2, ..., 10},0,10
D10,stakeholder_satisfaction,Integer representing stakeholder satisfaction,Integer,{0, 1, 2, ..., 10},0,10
D11,release_plan_delay,Integer representing release plan delay,Integer,{0, 1, 2, ..., 10},0,10
D12,team_collaboration,Integer representing team collaboration,Integer,{0, 1, 2, ..., 10},0,10
D13,product_backlog_debt,Integer representing product backlog debt,Integer,{0, 1, 2, ..., 10},0,10
D14,feature_documentation_quality,Integer representing feature documentation quality,Integer,{0, 1, 2, ..., 10},0,10
