ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether a team is assigned to a project,binary,{0,1},0,1
DV1,assign_worker_to_team,Whether a worker belongs to a team,binary,{0,1},0,1
DV2,assign_worker_role,Whether a worker takes on a specific role,binary,{0,1},0,1
DV3,assign_worker_skill,Whether a worker is mapped to a skill,binary,{0,1},0,1
DV4,select_feature_for_release,Whether a feature is included in a release plan,binary,{0,1},0,1
DV5,place_story_in_sprint,Whether a user story is assigned to a sprint backlog,binary,{0,1},0,1
DV6,select_task_for_sprint,Whether a task is included on the sprint board,binary,{0,1},0,1
DV7,close_blocker,Whether a blocker is resolved in the sprint,binary,{0,1},0,1
DV8,set_sprint_goal_achieved,Flag for sprint goal achievement status,binary,{0,1},0,1
DV9,allocate_budget_to_feature,Continuous share of project budget allocated to a feature,float,[0,1],0.0,1.0
DV10,assign_product_owner_to_backlog,Whether a product owner manages a backlog,binary,{0,1},0,1
DV11,assign_scrum_master_to_team,Whether a scrum master supports a team,binary,{0,1},0,1
