ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision: Assign a specific worker to a specific task.,integer,{0,1},0,1
DV1,include_feature_in_sprint,Binary decision: Include a specific feature in the current sprint backlog.,integer,{0,1},0,1
DV2,select_user_story_for_release,Binary decision: Mark a user story for inclusion in the next release.,integer,{0,1},0,1
DV3,set_sprint_duration,The duration of a sprint in days.,integer,,7,21
DV4,assign_story_points,The number of story points assigned to a specific user story.,integer,,1,13
DV5,team_size,The number of workers assigned to a specific team.,integer,,3,9
DV6,worker_availability_factor,A multiplier for a worker's nominal availability (e.g., for part-time).,float,,0.2,1.0
DV7,task_effort_estimate,The estimated effort (in person-hours) for a specific task.,integer,,1,40
DV8,blocker_severity_score,The severity score assigned to a identified blocker.,integer,,1,10
DV9,feature_priority,The priority ranking of a feature (higher = more important).,integer,,1,100
DV10,stakeholder_influence_weight,The influence weight of a stakeholder in satisfaction calculations.,float,,0.0,1.0
DV11,skill_proficiency_level,The proficiency level of a worker for a specific skill.,integer,,1,5
