Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial time (for small instances),Maximize profit given resource constraints.,10
2,Integer Programming,IP,Optimization where some or all variables are restricted to be integers.,NP-Hard,Knapsack problem with integer values.,9
3,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Varies (depends on problem structure),Minimizing cost with nonlinear constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Polynomial time (for convex problems),Portfolio optimization.,7
5,Mixed-Integer Linear Programming,MILP,Optimization with both continuous and integer variables.,NP-Hard,Production planning with discrete and continuous decisions.,6
6,Convex Optimization,CO,Optimization where the objective function and constraints are convex.,Polynomial time (for convex problems),Support vector machines.,5
7,Combinatorial Optimization,CO,Optimization over a discrete solution set.,NP-Hard,Travelling salesman problem.,4
8,Stochastic Programming,SP,Optimization under uncertainty where some data is random.,Varies (depends on problem structure),Inventory management with uncertain demand.,3
9,Dynamic Programming,DP,Optimization of multistage decision problems.,Varies (depends on problem structure),Shortest path problem.,2
10,Multi-Objective Optimization,MOO,Optimization of multiple conflicting objectives.,Varies (depends on problem structure),Design optimization with multiple criteria.,1
