ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Whether a worker is assigned to a task,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Whether a feature is selected for the sprint backlog,Integer,{0,1},0,1
DV2,set_sprint_duration,Duration of the sprint in weeks,Integer,{1,2,3,4},1,4
DV3,allocate_budget_to_project,Amount of budget allocated to a project,Real,[0,1000000],0,1000000
DV4,assign_skill_to_worker,Whether a skill is assigned to a worker,Integer,{0,1},0,1
DV5,set_task_effort,Estimated effort for a task in story points,Integer,[1,20],1,20
DV6,select_user_story_for_sprint,Whether a user story is selected for the sprint backlog,Integer,{0,1},0,1
DV7,set_blocker_priority,Priority level of a blocker,Integer,[1,5],1,5
DV8,assign_scrum_master_to_team,Whether a scrum master is assigned to a team,Integer,{0,1},0,1
DV9,set_velocity_target,Target velocity for the team,Integer,[1,100],1,100
DV10,set_release_plan_date,Planned release date for a release plan,Date,YYYY-MM-DD,2023-01-01,2025-12-31
