ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Max Team Size,Team must not exceed 10 members,teamSize,Team,Max,🟢
C2,Minimum Skill Coverage,Team must include at least one member per required skill,skillCoverage,Team,Min,🟢
C3,Budget Limit,Total project cost must not exceed allocated budget,actualCost,Project,Max,🟢
C4,Sprint Capacity,Total task effort must not exceed team capacity per sprint,sprintEffort,Sprint Backlog,Max,🟢
C5,Zero Unresolved Blockers,No unresolved blockers at end of sprint,openBlockers,Blocker / Problem / Bug,Min,🟢
C6,Sprint Duration Minimum,Sprint duration must be at least 7 days,sprintDuration,Sprint,Min,🟢
C7,Daily Scrum Attendance,At least 90% attendance in daily scrums,attendanceRate,Daily Scrum,Min,🟢
C8,Backlog Size Limit,Product backlog must not exceed 200 items,backlogSize,Product Backlog,Max,🟡
C9,High-Priority Feature Scheduling,At least 80% of high-priority features scheduled in next release,highPriorityScheduling,Feature,Min,🟡
C10,Review Frequency,At least one sprint review per sprint,reviewCount,Sprint Review,Min,🟢
