ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Number of Sprints,Total number of sprints in the project,numSprints,Project,Integer,1,20
DV2,Sprint Length,Duration of each sprint in days,sprintLength,Sprint,Integer,7,30
DV3,Team Size,Number of members in the team,teamSize,Team,Integer,3,10
DV4,Story Points,Estimated story points for a user story,storyPoints,User Story,Integer,1,20
DV5,Task Effort,Estimated effort in hours for a task,taskEffort,Task / Sub-Task,Float,0.5,16
DV6,Budget per Feature,Budget allocated to a specific feature,budgetPerFeature,Feature,Float,1000,50000
DV7,Features per Release,Number of features included in a release,featuresPerRelease,Release Plan,Integer,1,10
DV8,Tasks per Story,Number of tasks defined for a user story,tasksPerStory,User Story,Integer,1,10
DV9,Daily Scrum Duration,Length of daily scrum meeting in minutes,dailyScrumDuration,Daily Scrum,Integer,5,30
DV10,Test Coverage Percentage,Percentage of code covered by tests,testCoverage,Development Snapshot,Float,0,100
