ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,"Binary variable indicating if worker W is assigned to team T.",boolean,"{0,1}",0,1
DV1,assign_us_to_sprint,"Binary variable indicating if user story US is assigned to sprint SP.",boolean,"{0,1}",0,1
DV2,assign_task_to_worker,"Binary variable indicating if task TSK is assigned to worker W.",boolean,"{0,1}",0,1
DV3,select_feature_for_release,"Binary variable indicating if feature F is included in release plan REP.",boolean,"{0,1}",0,1
DV4,set_sprint_start_date,"The chosen start date for a specific sprint.",date,,2025-01-01,2026-12-31
DV5,set_team_size,"The number of workers assigned to a team.",integer,,3,9
DV6,determine_sprint_order,"Integer variable representing the sequence number of a sprint in the project.",integer,,1,100
DV7,set_user_story_priority,"The priority level assigned to a user story on a scale of 1 to 10.",integer,,1,10
DV8,allocate_budget_to_feature,"The amount of budget allocated to develop a specific feature.",float,,0.0,100000.0
DV9,assign_po_to_project,"Binary variable indicating if Product Owner PO is assigned to project P.",boolean,"{0,1}",0,1
DV10,assign_sm_to_team,"Binary variable indicating if Scrum Master SM is assigned to team T.",boolean,"{0,1}",0,1
