ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize average story points completed per sprint,True,max,Velocity,avg._story_points,2,1.0
G1,minimize_sprint_blockers,Minimize number of unresolved blockers during sprints,True,min,Blocker,status,2,1.5
G2,maximize_feature_completion,Maximize number of completed features per release,True,max,Feature,status,2,1.2
G3,minimize_task_effort_deviation,Minimize difference between estimated and actual task effort,True,min,Task,effort,1,0.8
G4,maximize_worker_utilization,Maximize productive worker availability utilization,True,max,Worker,availability,2,1.0
G5,minimize_sprint_goal_failure,Minimize number of sprints where goal was not achieved,True,min,Sprint,achievement_of_goal,2,1.6
G6,maximize_stakeholder_influence_match,Maximize alignment of implemented features with high-influence stakeholders,True,max,Stakeholder,influence_level,1,1.3
G7,minimize_technical_debt_accumulation,Reduce growth of low-quality, fast-tracked deliverables,False,min,DevelopmentSnapshot,test_status,0,1.4
G8,maximize_documentation_coverage,Maximize ratio of documented to implemented features,True,max,FeatureDocumentation,linked_requirements,2,0.9
G9,minimize_sprint_planning_duration,Minimize time spent in Sprint Planning meetings,False,min,SprintPlanning,duration_(min),2,0.7
G10,maximize_user_story_clarity,Maximize completeness and clarity of user stories,True,max,UserStory,acceptance_criteria,1,1.1
G11,minimize_epic_split_delay,Minimize time between epic creation and first derived user story,False,min,Epic,estimated_effort,1,0.8
G12,maximize_release_plan_adherence,Maximize percentage of planned features actually released,True,max,ReleasePlan,included_features,2,1.3
G13,minimize_daily_scrum_overrun,Minimize duration beyond 15 minutes in Daily Scrums,False,min,DailyScrum,duration,2,0.6
G14,maximize_skill_coverage_in_team,Maximize alignment of team skills with project feature requirements,True,max,Skill,level,1,1.0
