ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Decision to assign a specific worker to a specific team,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Decision to include a specific feature in a sprint's backlog,Integer,{0,1},0,1
DV2,allocate_budget_to_feature,Amount of budget to allocate for the development of a specific feature,Float,Real,0,1000000
DV3,set_sprint_duration,Duration of a sprint in days,Integer,Integer,7,30
DV4,assign_task_to_worker,Decision to assign a specific task to a specific worker,Integer,{0,1},0,1
DV5,prioritize_feature_backlog,Priority ranking of a feature in the product backlog,Integer,Integer,1,100
DV6,set_worker_availability,Percentage of time a worker is allocated to the project,Float,Real,0.0,1.0
DV7,plan_release_date,Planned date for a specific release,Date,Date,2023-01-01,2025-12-31
DV8,define_team_size,Number of workers in a specific team,Integer,Integer,3,12
DV9,estimate_task_effort,Estimated effort for a task in person-hours,Float,Real,0.5,40
DV10,set_feature_story_points,Story points assigned to a user story for estimation,Integer,Integer,1,20
