ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,"Increase average story points completed per sprint",max_velocity,Velocity,Max,🟢
G2,Minimize Sprint Overrun,"Reduce days beyond planned sprint end",min_sprint_overrun,Sprint,Min,🟢
G3,Maximize Goal Achievement Rate,"Increase % of sprint goals achieved",max_goal_achievement,Sprint Goal,Max,🟢
G4,Minimize Defect Rate,"Reduce defects per development snapshot",min_defect_rate,Blocker / Problem / Bug,Min,🟢
G5,Maximize Feature Completion,"Increase ratio of features completed per release",max_feature_completion,Feature,Max,🟢
G6,Minimize Time to Market,"Reduce time from project start to release",min_time_to_market,Release Plan,Min,🟢
G7,Maximize Team Utilization,"Increase proportion of team capacity used per sprint",max_team_utilization,Team,Max,🟡
G8,Minimize Budget Overrun,"Reduce budget variance at project end",min_budget_overrun,Project,Min,🟢
G9,Maximize Customer Satisfaction,"Increase stakeholder satisfaction rating",max_customer_satisfaction,Stakeholder,Max,🟡
G10,Minimize Backlog Ageing,"Reduce average age of user stories in backlog",min_backlog_age,User Story,Min,🟡
G11,Maximize Release Frequency,"Increase number of releases in given time frame",max_release_frequency,Release Plan,Max,🟡
G12,Minimize Technical Debt,"Reduce accumulated technical debt metrics",min_technical_debt,Development Snapshot,Min,🟢
