ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,Binary assignment of each user story to a sprint,binary,{0,1},0,1
DV1,select_feature_for_release,Select whether a feature is included in a release,binary,{0,1},0,1
DV2,allocate_task_to_worker,Assign a task to a specific worker,binary,{0,1},0,1
DV3,set_sprint_number,Choose the sprint index for scheduling,integer,{1..999},1,999
DV4,set_story_points_for_user_story,Set or adjust story points for a user story,integer,{0..100},0,100
DV5,set_task_effort_hours,Estimate/adjust task effort in hours,integer,{0..100},0,100
DV6,choose_board_column,Index for Scrum board column (0=todo,1=doing,2=done),integer,{0,1,2},0,2
DV7,schedule_sprint_start_offset,Days offset from project start to sprint start,integer,{0..30},0,30
DV8,decide_blocker_resolution_flag,Indicate whether a blocker is resolved,binary,{0,1},0,1
DV9,set_team_size,Decide the effective team size for a sprint,integer,{1..20},1,20
DV10,set_velocity_target_story_points,Target average story points per sprint,integer,{0..200},0,200
DV11,plan_review_attendees_target,Target number of attendees for sprint review,integer,{0..100},0,100
DV12,pick_roadmap_milestone_sequence,Ordering index for roadmap milestones,integer,{1..50},1,50
