ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_productivity,Increase the productivity of the team,False,max,Team,team_size,2,1.0
G1,maximize_sprint_velocity,Increase the average amount of work per sprint,False,max,Velocity,avg._story_points,2,1.0
G2,minimize_blocker_impact,Reduce the impact of blockers on tasks,False,min,Blocker,severity,2,1.0
G3,maximize_feature_completion,Increase the number of features completed,False,max,Feature,status,2,1.0
G4,maximize_user_story_completion,Increase the number of user stories completed,False,max,UserStory,status,2,1.0
G5,maximize_task_completion,Increase the number of tasks completed,False,max,Task,status,2,1.0
G6,maximize_team_satisfaction,Increase the satisfaction of the team,False,max,SprintRetrospective,team_satisfaction,2,1.0
G7,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,SprintGoal,achievement_status,2,1.0
G8,maximize_product_owner_availability,Increase the availability of the product owner,False,max,ProductOwner,availability,2,1.0
G9,maximize_scrum_master_availability,Increase the availability of the scrum master,False,max,ScrumMaster,availability,2,1.0
G10,maximize_worker_availability,Increase the availability of workers,False,max,Worker,availability,2,1.0
G11,maximize_sprint_review_feedback,Increase the feedback from sprint reviews,False,max,SprintReview,feedback_documentation,2,1.0
G12,maximize_development_snapshot_quality,Increase the quality of development snapshots,False,max,DevelopmentSnapshot,test_status,2,1.0
G13,maximize_feature_documentation_quality,Increase the quality of feature documentation,False,max,FeatureDocumentation,change_log,2,1.0
G14,maximize_release_plan_completion,Increase the completion of release plans,False,max,ReleasePlan,status,2,1.0
