ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"Binary variable: 1 if worker w is assigned to task tsk, 0 otherwise.",binary,"{0,1}",0,1
DV1,assign_user_story_to_sprint,"Binary variable: 1 if user story us is assigned to sprint sp, 0 otherwise.",binary,"{0,1}",0,1
DV2,assign_team_to_project,"Binary variable: 1 if team t is assigned to project p, 0 otherwise.",binary,"{0,1}",0,1
DV3,select_feature_for_release,"Binary variable: 1 if feature f is selected for release plan rep, 0 otherwise.",binary,"{0,1}",0,1
DV4,set_sprint_start_date,"Integer variable representing the start date of sprint sp (e.g., as days from project start).",integer,,0,
DV5,set_task_effort,"Integer variable for the effort (e.g., in hours) assigned to task tsk.",integer,,1,100
DV6,set_user_story_priority,"Integer variable for the priority of user story us.",integer,"{1,2,3,4,5}",1,5
DV7,resolve_blocker,"Binary variable: 1 if blocker bl is resolved, 0 otherwise.",binary,"{0,1}",0,1
DV8,assign_scrum_master_to_team,"Binary variable: 1 if Scrum Master sm is assigned to team t, 0 otherwise.",binary,"{0,1}",0,1
DV9,assign_product_owner_to_project,"Binary variable: 1 if Product Owner po is assigned to project p, 0 otherwise.",binary,"{0,1}",0,1
DV10,set_sprint_duration,"Integer variable for the duration of sprint sp in days.",integer,,7,30
DV11,link_task_to_story,"Binary variable: 1 if task tsk is part of user story us, 0 otherwise.",binary,"{0,1}",0,1
