ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Team Velocity,Maximize average story points completed per sprint,avgVelocity,Velocity,Max,🟡
G2,Defect Count,Minimize number of unresolved bugs at the end of each sprint,openBugs,Blocker / Problem / Bug,Min,🟡
G3,Stakeholder Satisfaction,Maximize average satisfaction rating from stakeholders,avgSatisfaction,Stakeholder,Max,🟡
G4,Test Coverage,Maximize percentage of code covered by automated tests,testCoverage,Development Snapshot,Max,🟡
G5,Time-to-Market,Minimize days from project start to first release,timeToMarket,Release Plan,Min,🟡
G6,Budget Variance,Minimize deviation between actual cost and budget,budgetVariance,Project,Min,🟡
G7,Feature Throughput,Maximize number of features delivered per sprint,featuresPerSprint,Feature,Max,🟡
G8,Team Satisfaction,Maximize team satisfaction score from retrospectives,teamSatisfaction,Sprint Retrospective,Max,🟡
G9,Estimation Accuracy,Maximize ratio of estimated to actual effort,estimationAccuracy,Feature,Max,🟡
G10,Release Adherence,Maximize percentage of planned features delivered on schedule,releaseAdherence,Release Plan,Max,🟡
