ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,"1 if user story is selected for the current sprint, else 0",Binary,{0,1},0,1
DV1,select_feature_for_release,"1 if feature is included in the upcoming release, else 0",Binary,{0,1},0,1
DV2,allocate_task_effort,"Effort hours allocated to a task within the sprint",Integer,[0,200],0,200
DV3,set_user_story_priority,"Planned working priority for a user story during sprint",Integer,{1,2,3,4,5},1,5
DV4,team_capacity_committed,"Story points the team commits for the sprint",Integer,[0,200],0,200
DV5,activate_blocker_resolution,"1 if blocker is scheduled for resolution in sprint, else 0",Binary,{0,1},0,1
DV6,assign_worker_to_task,"1 if worker is assigned to a given task, else 0",Binary,{0,1},0,1
DV7,qa_test_allocation,"Number of test cases planned for a user story",Integer,[0,500],0,500
DV8,code_review_required,"1 if code review is mandated for the task, else 0",Binary,{0,1},0,1
DV9,bugfix_story_points_buffer,"Story points buffer reserved for bug fixes",Integer,[0,30],0,30
DV10,ci_pipeline_gate_level,"Number of mandatory CI gates before merge",Integer,{0,1,2,3,4},0,4
DV11,release_batch_size,"Count of features per release batch",Integer,[1,20],1,20
