Keyword,Category,Description,RelevantScrumEntities
"user story",Requirements,"A brief description of a feature from the perspective of an end-user.",User Story, Product Backlog
"epic",Requirements,"A large body of work that can be broken down into smaller user stories.",Epic, Product Backlog
"acceptance criteria",Requirements,"Conditions that must be met for a user story to be considered complete.",User Story, Definition of Done
"functional requirement",Requirements,"A requirement that specifies a function that a system must perform.",User Story, Sprint Backlog
"non-functional requirement",Requirements,"A requirement that specifies criteria that judge the operation of a system, rather than specific behaviors.",User Story, Sprint Backlog
"technical debt",Requirements,"A concept in software development that reflects the eventual cost of additional rework caused by choosing an easy solution now instead of using a better approach that would take longer.",Task, Product Backlog
"complexity",Evaluation,"A measure of the effort required to implement a requirement.",User Story, Sprint Planning
"dependency",Evaluation,"A relationship between requirements where one requirement cannot be completed without another.",User Story, Sprint Backlog
"prioritization",Evaluation,"The process of ranking requirements based on business value, risk, and effort.",Product Backlog, Sprint Planning
"story points",Evaluation,"A unit of measure for expressing an estimate of the overall effort required to fully implement a product backlog item or any other piece of work.",User Story, Sprint Planning
"backlog refinement",Process,"An ongoing process in which the Product Owner and the Development Team collaborate on the details of Product Backlog items.",Product Backlog, Sprint Planning
"sprint planning",Process,"An event in SCRUM where the team selects items from the product backlog to work on during the upcoming sprint.",Sprint Backlog, Sprint Planning
"definition of done",Process,"A shared understanding of what it means for work to be complete on the Scrum Team.",User Story, Sprint Backlog
