Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial time (for small problems, NP-hard in general),Maximize profit given resource constraints.,10
2,Integer Programming,IP,Optimization of a linear objective function subject to linear constraints where variables are restricted to integers.,NP-hard,Knapsack problem.,9
3,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Varies (depends on problem structure),Minimizing cost function with nonlinear constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Convex QP is polynomial time, Non-convex QP is NP-hard.,Portfolio optimization.,7
5,Mixed-Integer Linear Programming,MILP,Optimization of a linear objective function subject to linear constraints with some integer and some continuous variables.,NP-hard,Production planning with discrete and continuous decisions.,6
6,Convex Optimization,CO,Optimization of a convex objective function subject to convex constraints.,Polynomial time (for convex problems),Support vector machines.,5
7,Combinatorial Optimization,CO,Optimization problems where the variables are discrete and the objective function and constraints are combinatorial in nature.,NP-hard,Traveling salesman problem.,4
8,Dynamic Programming,DP,Optimization of multistage decision problems by breaking them down into simpler subproblems.,Polynomial time (for problems with optimal substructure and overlapping subproblems),Shortest path problem.,3
9,Stochastic Programming,SP,Optimization problems involving uncertainty, where some of the data is modeled as random.,NP-hard,Inventory management with uncertain demand.,2
10,Multi-Objective Optimization,MOO,Optimization problems with multiple conflicting objectives.,Varies (depends on problem structure),Design optimization with multiple criteria.,1
