ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary variable indicating if a worker is assigned to a team,bool,{0,1},0,1
DV1,select_feature_for_sprint,Whether a feature is selected for current sprint,bool,{0,1},0,1
DV2,plan_sprint_duration,Planned duration of a sprint in days,int,,1,30
DV3,allocate_effort_per_task,Assigned effort units to a task,int,,0,100
DV4,schedule_release_date,Planned release date as numeric (days from epoch),int,,0,100000
DV5,estimate_story_points,Estimated story points for a user story,int,,0,20
DV6,set_task_status_code,Status code of task: 0=todo, 1=in_progress, 2=done,int,{0,1,2},0,2
DV7,define_team_size,Number of workers in a team,int,,1,50
DV8,choose_backlog_priority,Priority level assigned to backlog item (1-5),int,,1,5
DV9,moderate_retrospective_count,Number of retrospectives moderated by Scrum Master,int,,0,100
DV10,track_velocity_value,Recorded velocity value per sprint,float,,0,50.0
DV11,activate_blocker_resolution,Indicator if blocker is resolved,bool,{0,1},0,1
DV12,update_documentation_status,Status of feature documentation update,int,{0,1,2},0,2
DV13,set_influence_weight,Weight assigned to stakeholder influence level,float,,0.0,10.0
DV14,plan_roadmap_timeline,Time span of roadmap in days,int,,30,3650
