ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Minimize Defect Rate,Keep number of bugs per sprint as low as possible,MinDefectRate,Development Snapshot; Blocker / Problem / Bug,Min,🟢
G02,Maximize Velocity,Increase average story points completed per sprint,MaxVelocity,Velocity,Max,🟢
G03,Maximize Customer Satisfaction,Achieve highest stakeholder feedback scores,MaxCustSat,Sprint Review; Stakeholder,Max,🟡
G04,Minimize Budget Overrun,Stay within project budget limits,MinBudgetOverrun,Project,Min,🟢
G05,Maximize On-Time Delivery,Deliver sprint goals by planned end date,MaxOnTimeDelivery,Sprint,Max,🟢
G06,Maximize Feature Throughput,Complete as many backlog features as possible per release,MaxFeatThroughput,Release Plan; Feature,Max,🟡
G07,Minimize Cycle Time,Reduce time from user story start to done,MinCycleTime,User Story; Task / Sub-Task,Min,🟢
G08,Maximize Team Utilization,Keep team members productively engaged,MaxTeamUtil,Team; Worker / Employee,Max,🟡
G09,Minimize Technical Debt,Reduce number of unresolved code issues,MinTechDebt,Blocker / Problem / Bug,Min,🟢
G10,Maximize Roadmap Alignment,Ensure delivered features match roadmap,MaxRoadmapAlign,Roadmap; Release Plan,Max,🟡
G11,Minimize Sprint Scope Changes,Limit mid-sprint backlog adjustments,MinScopeChange,Sprint Backlog,Min,🔴
G12,Maximize Documentation Coverage,Ensure features have up-to-date docs,MaxDocCoverage,Feature Documentation; Feature,Max,🟡
