ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C001,Respect Team Capacity,Ensure workload fits within team capacity,RespectCapacity,Team,Max,🟢
C002,Skill-Task Alignment,Assign tasks matching employee skills,SkillAlignment,Task / Sub-Task,Max,🟢
C003,No Overallocation,Workers should not be overbooked,PreventOverallocation,Employee,Min,🔴
C004,PO Availability,Ensure Product Owner is available during sprints,POAvailability,Product Owner,Min,🟢
C005,SM Moderates Retrospective,Ensure retrospectives are moderated by Scrum Master,ModeratedRetro, Sprint Retrospective,Max,🟢
C006,Review Attendees ≥ 3,Ensure Sprint Review has a minimum audience,MinReviewAttendees,Sprint Review,Min,🟢
C007,Feature Must Have Documentation,All features must be documented,FeatureDocExists,Feature,Max,🟢
C008,Daily Scrum Duration ≤ 15 mins,Limit Daily Scrum to 15 minutes,ScrumDurationLimit,Daily Scrum,Min,🔴
C009,Certified Roles,PO and SM must be certified,CertifiedScrumRoles,Product Owner / Scrum Master,Max,🟡
C010,Sprint ≤ 4 weeks,All sprints must be 4 weeks or shorter,SprintDurationLimit,Sprint,Min,🔴
