ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,team_size,Number of workers assigned to a team,Integer,"{5,6,7,8,9,10}",5,10
DV1,sprint_length_days,The duration of a single sprint in days,Integer,"{10,12,14}",10,14
DV2,worker_assign_sprint,Assign a specific worker to a specific sprint,Boolean,"{0,1}",0,1
DV3,feature_priority,Priority level assigned to a feature,Integer,"{1,2,3,4,5}",1,5
DV4,story_points,Number of story points assigned to a user story,Integer,"{1,2,3,5,8,13}",1,13
DV5,task_sequence,The order in which tasks are processed,Integer,Positive Integers,1,100
DV6,resource_allocation_budget,Budget allocated to a specific feature or sprint,Float,Positive Real Numbers,0.0,100000.0
DV7,skill_requirement_threshold,Minimum skill level required for a task,Integer,"{1,2,3,4,5}",1,5
DV8,contingency_buffer_days,Buffer time added to a task or sprint for uncertainty,Integer,Positive Integers,0,5
DV9,max_concurrent_tasks,Maximum number of tasks a worker can handle simultaneously,Integer,"{1,2,3}",1,3
