ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_utilization,Maximize the average availability of all team workers,True,max,Worker,availability,2,1.0
G1,minimize_project_duration,Minimize the total duration of the project in days,False,min,Project,project_end,2,-1.0
G2,maximize_feature_delivery,Maximize the number of high-priority features delivered,True,max,Feature,priority,2,1.5
G3,minimize_blocker_impact,Minimize the number of high-severity blockers,True,min,Blocker,severity,2,-1.0
G4,maximize_sprint_goal_achievement,Maximize the rate of successfully achieved sprint goals,True,max,SprintGoal,achievement_status,2,1.0
G5,minimize_task_effort_variance,Minimize the variance between estimated and actual task effort,False,min,Task,effort,2,-0.5
G6,maximize_stakeholder_satisfaction,Maximize the average satisfaction level of stakeholders,True,max,Stakeholder,influence_level,1,1.2
G7,minimize_budget_overrun,Minimize the total project budget overrun,False,min,Project,budget,2,-2.0
G8,maximize_team_velocity,Maximize the average velocity of the team,True,max,Velocity,avg._story_points,2,1.0
G9,minimize_retrospective_actions,Minimize the number of improvement actions needed (indicator of fewer problems),True,min,SprintRetrospective,improvement_actions,2,-0.8
