ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,"Binary decision: assign a team to a project",binary,"{0,1}",0,1
DV1,select_user_story_for_sprint,"Binary decision: include a user story in the sprint backlog",binary,"{0,1}",0,1
DV2,allocate_task_to_worker,"Binary decision: assign a task to a worker",binary,"{0,1}",0,1
DV3,set_sprint_duration_days,"Integer decision: planned sprint length in days",integer,"{7,10,14,21,28}",7,28
DV4,choose_scrum_master_for_team,"Binary decision: link a Scrum Master to a team",binary,"{0,1}",0,1
DV5,prioritize_feature_rank,"Integer decision: priority rank for a feature (lower is higher)",integer,"{1..100}",1,100
DV6,select_epic_for_backlog,"Binary decision: include an epic in the product backlog",binary,"{0,1}",0,1
DV7,plan_release_includes_feature,"Binary decision: include a feature in a release plan",binary,"{0,1}",0,1
DV8,set_task_effort_estimate,"Integer decision: effort estimate for a task (points/hours)",integer,"{1..100}",1,100
DV9,assign_product_owner_to_backlog,"Binary decision: link a Product Owner to a Product Backlog",binary,"{0,1}",0,1
DV10,choose_sprint_goal,"Binary decision: select a sprint goal for the sprint",binary,"{0,1}",0,1
DV11,limit_max_backlog_entries,"Integer decision: cap number_of_entries in backlog (planning timebox)",integer,"{10..1000}",10,1000
