ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Number of Sprints,Total sprints planned for project,SprintCount,Project,Integer,1,50
DV2,Team Size,Number of developers in a team,TeamSize,Team,Integer,3,10
DV3,Sprint Length (Days),Duration of each sprint,SprintDuration,Sprint,Integer,7,30
DV4,Budget Allocation,Funding allocated to project,Budget,Project,Float,0.0,1e7
DV5,Max Work Hours per Member,Daily available hours per team member,WorkHours,Worker / Employee,Integer,4,10
DV6,Allowed Blockers,Max simultaneous blockers per sprint,MaxBlockers,Sprint,Integer,0,5
DV7,Story Point Capacity,Max story points per sprint per team,Capacity,Sprint,Integer,10,200
DV8,Release Frequency,Number of releases per year,ReleaseFreq,Release Plan,Integer,1,12
DV9,Backlog Items per Sprint,Max user stories per sprint,BacklogItems,Sprint Backlog,Integer,1,50
DV10,Documentation Lead Time,Days allocated for documentation,DocLeadTime,Feature Documentation,Integer,0,14
