ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of the team,True,max,Team,avg._story_points,2,1.0
G1,minimize_blocker_severity,Minimize the total severity of active blockers,True,min,Blocker,severity,2,1.5
G2,maximize_feature_priority,Maximize the total priority of features in the release,True,max,Feature,priority,2,1.2
G3,minimize_sprint_effort_variance,Minimize the variance between estimated and actual effort in a sprint,False,min,SprintBacklog,total_effort,2,0.8
G4,maximize_worker_availability,Maximize the total availability of workers,True,max,Worker,availability,2,1.0
G5,minimize_project_budget,Minimize the total project budget,False,min,Project,budget,2,1.0
G6,maximize_stakeholder_satisfaction,Maximize the average satisfaction from sprint reviews,True,max,SprintReview,feedback_documentation,1,1.3
G7,minimize_task_blocked_time,Minimize the time tasks spend in a blocked state,True,min,Blocker,resolved_on,2,1.4
G8,maximize_skill_coverage,Maximize the coverage of required skills in the team,True,max,Skill,level,1,1.1
G9,minimize_sprint_goal_failure,Minimize the number of sprints where the goal was not achieved,True,min,SprintGoal,achievement_status,2,1.5
