ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Assign a worker to a team,Binary,"{0,1}",0,1
DV1,select_feature_for_sprint,Select a feature for the upcoming sprint,Binary,"{0,1}",0,1
DV2,set_sprint_duration,Set the duration of a sprint in days,Integer,"{7,14,21,28}",7,28
DV3,allocate_budget_to_feature,Allocate budget to a specific feature,Continuous,Real,0,100000
DV4,set_worker_availability,Set the planned availability for a worker,Continuous,Real,0,1
DV5,assign_story_points,Assign story points to a user story,Integer,Natural,1,20
DV6,prioritize_feature,Set the priority level of a feature,Integer,"{1,2,3,4,5}",1,5
DV7,set_blocker_severity,Set the severity level of a blocker,Integer,"{1,2,3,4,5}",1,5
DV8,define_team_size,Define the size of a team,Integer,Natural,3,9
DV9,set_sprint_goal_status,Set the achievement status of the sprint goal,Binary,"{0,1}",0,1
