ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,"Binary variable: 1 if Team t is assigned to Project p, 0 otherwise.",boolean,"{0,1}",0,1
DV1,assign_worker_to_team,"Binary variable: 1 if Worker w is assigned to Team t, 0 otherwise.",boolean,"{0,1}",0,1
DV2,select_feature_for_release,"Binary variable: 1 if Feature f is included in a specific Release Plan, 0 otherwise.",boolean,"{0,1}",0,1
DV3,select_user_story_for_sprint,"Binary variable: 1 if User Story us is selected for Sprint sp, 0 otherwise.",boolean,"{0,1}",0,1
DV4,assign_task_to_worker,"Binary variable: 1 if Task tsk is assigned to Worker w, 0 otherwise.",boolean,"{0,1}",0,1
DV5,start_project,"Binary variable: 1 if Project p is greenlit and started, 0 otherwise.",boolean,"{0,1}",0,1
DV6,number_of_workers_in_team,"Integer variable representing the number of workers to assign to Team t.",integer,"{3-9}",3,9
DV7,allocate_worker_capacity_to_project,"Float variable representing the percentage of a worker's time allocated to a project.",float,"[0.0, 1.0]",0.0,1.0
DV8,set_sprint_start_date,"Date variable determining the start date for a given sprint.",date,"Date",,
DV9,set_feature_priority,"Integer variable to set or adjust the priority of a feature in the backlog.",integer,"{1-10}",1,10
DV10,choose_scrum_master_for_team,"Categorical variable to assign a specific Scrum Master sm to a Team t.",string,"{sm_names}",,
DV11,determine_sprint_count_for_release,"Integer variable for the number of sprints planned for a release.",integer,"N",1,20
