ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
D1,Number of Developers,Count of developers assigned per team,NumDevelopers,Team,Integer,3,9
D2,Sprint Duration,Length of each sprint in days,SprintDuration,Sprint,Integer,7,28
D3,Planned Story Points,Total story points planned per sprint,PlannedSP,Sprint,Integer,10,100
D4,Allocated Budget,Budget allocated per project in USD,AllocBudget,Project,Float,10000,1000000
D5,Team Meeting Time,Minutes allocated for daily scrum,DailySyncMins,Daily Scrum,Integer,10,30
D6,Number of Testers,Count of QA testers per sprint,NumTesters,Sprint,Integer,1,5
D7,Backlog Refinement Hours,Hours spent on backlog refinement per sprint,RefinementHrs,Sprint Planning,Float,2,16
D8,Documentation Effort,Hours allocated to feature documentation per feature,DocEffortHrs,Feature Documentation,Float,1,8
D9,Max Concurrent Sprints,Number of simultaneous sprints allowed,ConcurrentSprints,Project,Integer,1,3
D10,Release Candidates,Number of candidate builds before release,NumRC,Development Snapshot,Integer,1,5
D11,Support Staff Count,Number of support staff assigned,NumSupport,Team,Integer,0,3
D12,Skill Training Hours,Hours dedicated to training per competence,TrainingHrs,Skill / Competence,Float,0,20
