ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Limit,Team must have between 3 and 9 members,TeamSizeLimit,Team,Min,🟢
C2,Availability Threshold,Each employee must be ≥ 80% available,MinEmployeeAvail,Worker / Employee,Min,🟢
C3,Required Roles,Each team must include PO and SM roles,RequirePO_SM,Team;Role(s);Product Owner;Scrum Master,Min,🟢
C4,Skill Matching,Team must cover all required skills for a project,SkillMustMatch,Skill / Competence;Project,Max,🟢
C5,Max Sprint Length,Sprints cannot exceed 4 weeks,MaxSprintLength,Sprint,Max,🟢
C6,Backlog Health,Product Backlog must have ≥ 20 items,MinBacklogItems,Product Backlog,Min,🟡
C7,Budget Cap,Project spending cannot exceed budget,ProjectBudgetCap,Project,Max,🟢
C8,Release Window,Releases must occur at least every 8 weeks,MinReleaseFreq,Release Plan;Roadmap,Min,🟡
C9,Documentation Coverage,All features must have documentation,DocCoverage,Feature Documentation;Feature,Max,🟢
C10,Retro Action Closure,80% of retrospective actions closed before next sprint,SprintRetroClosure,Sprint Retrospective,Min,🟡
C11,Stakeholder Feedback,Collect feedback from at least 3 stakeholders per review,MinFeedbackCount,Stakeholder;Sprint Review,Min,🟡
C12,Team Location Constraint,Distributed teams must have ≥ 2 overlapping working hours,OverlapWorkingHours,Team,Min,🟢
