ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Limit,Team must not exceed maximum recommended size,TEAM_SIZE_LIMIT,Team,Min,🟢
C2,Sprint Length Bound,Sprint duration must be between 7 and 30 days,SPRINT_LENGTH_BOUND,Sprint,Can-Match,🟡
C3,Budget Cap,Total project spending must not exceed Budget,BUDGET_CAP,Project,Min,🟢
C4,Skill Coverage,All assigned Features must have at least one Employee with required Skill,SKILL_COVERAGE,Feature,Max,🟢
C5,Availability Constraint,Employee assignment cannot exceed their Availability hours,AVAILABILITY_CONSTR,Employee,Min,🟢
C6,Release Date Deadline,Release Plans must have Planned Date before roadmap milestone,RELEASE_DEADLINE,Release Plan,Max,🟢
C7,Blocked Task Limit,Number of simultaneously blocked Tasks ≤ 5 per sprint,BLOCKED_TASK_LIMIT,Task / Sub-Task,Min,🔴
C8,Work–Life Balance,Daily Scrum duration must not exceed 15 minutes,DAILY_SCRUM_TIME,Daily Scrum,Min,🟢
C9,Backlog Size Bound,Product Backlog entries must not exceed 100 items,BACKLOG_SIZE_BOUND,Product Backlog,Min,🔴
C10,Review Attendance,At least 80% Stakeholders must attend each Sprint Review,REVIEW_ATTENDANCE,Sprint Review,Max,🟢
