ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,Maximize average story points completed per sprint,MAX_VELOCITY,Sprint,Max,🟢
G2,Minimize Sprint Duration,Minimize the length of each sprint in days,MIN_SPRINT_DURATION,Sprint,Min,🟡
G3,Maximize Feature Delivery,Maximize number of Features delivered per release,MAX_FEATURE_DELIVERY,Release Plan,Max,🟢
G4,Minimize Bug Severity,Minimize average severity of Blockers per sprint,MIN_BUG_SEVERITY,Blocker / Problem / Bug,Min,🟢
G5,Maximize Team Utilization,Maximize percentage utilization of Team members,MAX_TEAM_UTIL,Sprint,Max,🟡
G6,Minimize Budget Overrun,Minimize amount by which spending exceeds Budget at project end,MIN_BUDGET_OVERRUN,Project,Min,🟢
G7,Maximize Stakeholder Satisfaction,Maximize average Stakeholder feedback score,Sprint Review,Max,🟡
G8,Minimize Task Rework,Minimize number of Tasks moved backward on the Scrum Board,MIN_TASK_REWORK,Task / Sub-Task,Min,🔴
G9,Maximize Release Frequency,Maximize number of Release Plans executed per year,MAX_RELEASE_FREQ,Release Plan,Max,🟡
G10,Minimize Unplanned Work,Minimize count of unplanned Tasks added mid-sprint,MIN_UNPLANNED_TASKS,Task / Sub-Task,Min,🟢
