"Rank","Name","Abbreviation","Description","Solvability","Example","Appearances"
"1","Linear Programming","LP","Optimizing a linear objective function subject to linear constraints","High","Maximize profit in production planning","10"
"2","Integer Programming","IP","Optimizing an objective function with integer variables","Medium","Scheduling with integer resources","8"
"3","Nonlinear Programming","NLP","Optimizing a nonlinear objective function","Low","Portfolio optimization with nonlinear risk","7"
"4","Dynamic Programming","DP","Breaking down complex problems into smaller subproblems","High","Shortest path in a graph","7"
"5","Quadratic Programming","QP","Optimizing a quadratic objective function subject to linear constraints","High","Portfolio optimization with quadratic risk","6"
"6","Mixed-Integer Linear Programming","MILP","Optimizing a linear objective function with integer and continuous variables","Medium","Supply chain optimization","6"
"7","Stochastic Programming","SP","Optimizing under uncertainty","Low","Portfolio optimization with uncertain returns","5"
"8","Convex Optimization","CO","Optimizing a convex objective function","High","Support vector machines","5"
"9","Mixed-Integer Nonlinear Programming","MINLP","Optimizing a nonlinear objective function with integer and continuous variables","Low","Process optimization in chemical engineering","4"
"10","Combinatorial Optimization","CO","Optimizing over discrete variables","Medium","Traveling salesman problem","4"
"11","Semi-Definite Programming","SDP","Optimizing a linear objective function subject to semi-definite constraints","High","Sensor network localization","3"
"12","Robust Optimization","RO","Optimizing under uncertainty with guaranteed performance","Medium","Supply chain optimization with uncertain demand","3"
"13","Multi-Objective Optimization","MOO","Optimizing multiple conflicting objectives","Low","Portfolio optimization with multiple objectives","2"
"14","Bi-Level Programming","BLP","Optimizing a problem with nested optimization problems","Low","Taxation policy optimization","2"
"15","Global Optimization","GO","Finding the global optimum of a non-convex problem","Low","Molecular structure prediction","1"
