"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","project_budget_allocation","Project budget allocation","float","{x | 0 <= x <= 1}","0.0","1.0"
"D1","team_size_allocation","Team size allocation","int","{0, 1, 2, ...}","0","10"
"D2","task_priority","Task priority","int","{1, 2, 3, ...}","1","5"
"D3","feature_development_time","Feature development time","float","{x | 0 <= x <= 100}","0.0","100.0"
"D4","blocker_resolution_time","Blocker resolution time","float","{x | 0 <= x <= 10}","0.0","10.0"
"D5","stakeholder_influence_level","Stakeholder influence level","int","{1, 2, 3, ...}","1","5"
"D6","sprint_duration","Sprint duration","int","{1, 2, 3, ...}","1","4"
"D7","sprint_goal_achievement","Sprint goal achievement","float","{x | 0 <= x <= 1}","0.0","1.0"
"D8","development_snapshot_quality","Development snapshot quality","float","{x | 0 <= x <= 1}","0.0","1.0"
"D9","product_backlog_item_priority","Product backlog item priority","int","{1, 2, 3, ...}","1","5"
"D10","scrum_board_task_assignment","Scrum board task assignment","bool","{0, 1}","0","1"
"D11","feature_documentation_quality","Feature documentation quality","float","{x | 0 <= x <= 1}","0.0","1.0"
"D12","team_availability","Team availability","float","{x | 0 <= x <= 1}","0.0","1.0"
