ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,select_user_story_for_sprint,"Binary decision variable to determine if a User Story (us) is selected for the current sprint.",boolean,"{0,1}",0,1
DV1,assign_worker_to_task,"Variable to assign a specific Worker (w) to a specific Task (tsk).",integer,"Set of Worker IDs",,
DV2,assign_feature_to_release,"Binary decision to include a Feature (f) in a specific Release Plan (rep).",boolean,"{0,1}",0,1
DV3,set_sprint_start_date,"Decision on which date a specific Sprint (sp) should begin.",date,,2025-01-01,2026-12-31
DV4,allocate_worker_to_team,"Decision to assign a Worker (w) to a development Team (t).",integer,"Set of Team IDs",,
DV5,prioritize_epic_in_backlog,"Integer variable setting the rank of an Epic (e) in the Product Backlog.",integer,,1,100
DV6,set_worker_availability,"Sets the percentage of time a Worker (w) is available for the project during a sprint.",float,,0.0,1.0
DV7,resolve_blocker_in_sprint,"Binary decision on whether to allocate resources to resolve a Blocker (bl) in the current sprint.",boolean,"{0,1}",0,1
DV8,certify_worker_for_skill,"Decision to certify a Worker (w) for a new Skill (s).",boolean,"{0,1}",0,1
DV9,set_project_budget,"Decision variable for setting the total budget for a specific Project (p).",float,,"10000","1000000"
DV10,choose_team_for_project,"Decision on which Team (t) is assigned to work on a Project (p).",integer,"Set of Team IDs",,
