ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,"Binary variable indicating if worker w is assigned to team t.",boolean,"{0,1}",0,1
DV1,assign_user_story_to_sprint,"Binary variable indicating if user story us is assigned to sprint sp.",boolean,"{0,1}",0,1
DV2,assign_task_to_worker,"Binary variable indicating if task tsk is assigned to worker w.",boolean,"{0,1}",0,1
DV3,assign_feature_to_release,"Binary variable indicating if feature f is included in release plan rep.",boolean,"{0,1}",0,1
DV4,select_team_size,"Integer variable for the number of members in a team t.",integer,,3,9
DV5,sprint_start_date,"Date variable for the start of a sprint sp.",date,,,
DV6,allocate_worker_availability,"Float variable for the percentage of a worker's time allocated to a project.",float,"[0.0, 1.0]",0.0,1.0
DV7,rank_user_story_in_backlog,"Integer representing the rank of a user story us in the product backlog.",integer,"[1, N]",1,
DV8,set_sprint_duration,"Integer for the length of a sprint in weeks.",integer,"{1,2,3,4}",1,4
DV9,assign_worker_to_role,"Binary variable indicating if worker w takes on role r in team t.",boolean,"{0,1}",0,1
DV10,set_project_priority,"Integer value representing the priority of a project p.",integer,"[1, 5]",1,5
DV11,determine_story_points,"Integer value for the estimated story points of a user story us.",integer,"{1,2,3,5,8,13,21}",1,21
DV12,choose_task_type,"Categorical variable for the type of a task (e.g., Development, Testing, Documentation).",string,"{'Dev','Test','Docs'}",,
