ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_completion_rate,Maximize the rate of project completions,False,max,Project,status,2,1.0
G1,minimize_sprint_blockers,Minimize the number of blockers in sprints,False,min,Task,status,2,1.0
G2,maximize_team_productivity,Maximize the average velocity of teams,False,max,Velocity,avg._story_points,2,1.0
G3,maximize_epic_completion,Maximize the number of completed epics,False,max,Epic,status,2,1.0
G4,minimize_story_points,Minimize the total story points in the backlog,False,min,UserStory,story_points,2,1.0
G5,maximize_stakeholder_satisfaction,Maximize stakeholder satisfaction with the product,False,max,Stakeholder,relevance_to_feature,2,1.0
G6,maximize_feature_documentation,Maximize the number of documented features,False,max,FeatureDocumentation,title,2,1.0
G7,maximize_sprint_goal_achievement,Maximize the achievement of sprint goals,False,max,SprintGoal,achievement_status,2,1.0
G8,minimize_budget_overrun,Minimize the budget overrun for projects,False,min,Project,budget,2,1.0
G9,maximize_task_completion_rate,Maximize the rate of task completions within sprints,False,max,Task,status,2,1.0
G10,maximize_employee_availability,Maximize the availability of employees,False,max,Worker,availability,2,1.0
G11,maximize_feature_completion,Maximize the number of completed features,False,max,Feature,status,2,1.0
G12,minimize_worker_turnover,Minimize the turnover rate of workers,False,min,Worker,status,2,1.0
G13,maximize_release_plan_completion,Maximize the completion of release plans,False,max,ReleasePlan,status,2,1.0
G14,minimize_roadmap_deviations,Minimize deviations from the roadmap,False,min,Roadmap,objectives,2,1.0
