ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,Binary decision to assign a specific User Story to a specific Sprint Backlog.,Boolean,"{0,1}",0,1
DV1,assign_worker_to_team,Binary decision to assign a specific Worker to a specific Team.,Boolean,"{0,1}",0,1
DV2,assign_task_to_worker,Binary decision to assign a specific Task to a specific Worker.,Boolean,"{0,1}",0,1
DV3,set_feature_priority,Set the priority level for a Feature, typically on an integer scale.,Integer,,1,10
DV4,include_feature_in_release,Binary decision to include a specific Feature in a specific Release Plan.,Boolean,"{0,1}",0,1
DV5,set_user_story_points,Set the estimated effort for a User Story using story points from the Fibonacci sequence.,Integer,"{1,2,3,5,8,13,21}",1,21
DV6,set_task_status,Update the status of a Task as it moves across the Scrum Board.,String,"{todo,in_progress,done}",,
DV7,define_sprint_start_date,Set the start date for an upcoming Sprint.,Date,,,
DV8,define_sprint_end_date,Set the end date for an upcoming Sprint.,Date,,,
DV9,allocate_project_budget,Set the total budget for a Project.,Float,,0,
DV10,set_team_size,Determine the number of members in a Team.,Integer,,3,9
DV11,set_blocker_severity,Assess and set the severity of a newly identified Blocker.,Integer,,1,5
DV12,assign_role_to_worker,Binary decision to assign a role (e.g. Scrum Master) to a worker.,Boolean,"{0,1}",0,1
