ModelKey,MessageIndex,Predicted_Keywords,Matched_Keywords,Precision,Recall,F1,TP,FP,FN,Text
ms-copilot-strategy1-v11,1,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,2,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,3,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,4,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,5,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,6,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,7,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,8,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,9,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,10,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,11,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,12,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,13,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,14,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,15,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,16,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,17,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v11,18,,,0.0,0.0,0.0,0,0,235,<empty>
