"Rank","Name","Abbreviation","Description","Solvability","Example","Appearances"
"1","Linear Programming","LP","Optimize linear objective function subject to linear constraints","High","Maximize profit given resource constraints","10"
"2","Integer Programming","IP","Optimize objective function with integer variables","Medium","Scheduling with discrete time slots","8"
"3","Nonlinear Programming","NLP","Optimize nonlinear objective function","Low","Optimize curve fitting parameters","7"
"4","Dynamic Programming","DP","Break down complex problems into smaller subproblems","High","Shortest path in a graph","7"
"5","Stochastic Programming","SP","Optimize under uncertainty","Low","Portfolio optimization with uncertain returns","6"
"6","Quadratic Programming","QP","Optimize quadratic objective function subject to linear constraints","High","Portfolio optimization with risk management","6"
"7","Mixed-Integer Linear Programming","MILP","Optimize linear objective function with integer and continuous variables","Medium","Supply chain optimization","5"
"8","Mixed-Integer Nonlinear Programming","MINLP","Optimize nonlinear objective function with integer and continuous variables","Low","Process optimization in chemical engineering","4"
"9","Constraint Programming","CP","Find feasible solutions under constraints","High","Scheduling with complex constraints","4"
"10","Convex Optimization","CO","Optimize convex objective function","High","Least squares optimization","4"
"11","Semi-definite Programming","SDP","Optimize linear objective function subject to matrix constraints","Medium","Control theory applications","3"
"12","Robust Optimization","RO","Optimize under uncertainty with guaranteed performance","Low","Supply chain optimization under demand uncertainty","3"
"13","Multi-objective Optimization","MOO","Optimize multiple conflicting objectives","Low","Design optimization with multiple criteria","2"
"14","Evolutionary Computation","EC","Use evolutionary algorithms for optimization","Low","Optimize complex systems with metaheuristics","2"
"15","Metaheuristics","MH","Use high-level algorithms to guide optimization","Low","Optimize complex problems with simulated annealing","1"
