ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,assign_user_story_to_sprint_backlog,1 if user story is assigned to a sprint backlog; 0 otherwise (R11),binary,{0,1},0,1
D1,assign_task_to_user_story,1 if task is assigned to a user story; 0 otherwise (R10),binary,{0,1},0,1
D2,include_feature_in_release_plan,1 if feature is included in a release plan; 0 otherwise (R20),binary,{0,1},0,1
D3,assign_team_to_project,1 if team is assigned to a project; 0 otherwise (R1),binary,{0,1},0,1
D4,assign_scrum_master_to_team,1 if a Scrum Master supports a team; 0 otherwise (R6),binary,{0,1},0,1
D5,assign_user_story_to_epic,1 if a user story belongs to an epic; 0 otherwise (R9),binary,{0,1},0,1
D6,link_blocker_to_task,1 if blocker blocks a task; 0 otherwise (R16),binary,{0,1},0,1
D7,attach_sprint_backlog_to_sprint,1 if sprint backlog belongs to a sprint; 0 otherwise (R12),binary,{0,1},0,1
D8,invite_stakeholder_to_sprint_review,1 if stakeholder participates in a sprint review; 0 otherwise (R17),binary,{0,1},0,1
D9,bind_velocity_to_team,1 if a velocity record refers to a team; 0 otherwise (R19),binary,{0,1},0,1
D10,generate_snapshot_for_sprint,1 if a sprint generates a development snapshot; 0 otherwise (R22),binary,{0,1},0,1
D11,assign_worker_to_team,1 if worker belongs to a team; 0 otherwise (R2),binary,{0,1},0,1
D12,assign_skill_to_worker,1 if worker has a skill; 0 otherwise (R3),binary,{0,1},0,1
D13,assign_role_to_worker,1 if worker takes on a role; 0 otherwise (R4),binary,{0,1},0,1
