ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Whether a worker is assigned to a task,Binary,"{0,1}",0,1
DV1,select_feature_for_release,Whether a feature is included in the next release,Binary,"{0,1}",0,1
DV2,select_user_story_for_sprint,Whether a user story is pulled into the sprint backlog,Binary,"{0,1}",0,1
DV3,team_size,The number of workers in a team,Integer,"Z+",3,9
DV4,sprint_duration,The planned duration of a sprint in days,Integer,"Z+",7,21
DV5,worker_availability_percentage,The percentage of time a worker is available,Continuous,"R+",0.0,1.0
DV6,story_point_estimate,The estimated effort for a user story in story points,Integer,"Z+",1,20
DV7,task_effort_hours,The estimated effort for a task in hours,Continuous,"R+",0.5,40.0
DV8,skill_level,The proficiency level of a worker for a skill,Integer,"{1,2,3,4,5}",1,5
DV9,blocker_severity_score,The numerical score representing a blocker's severity,Integer,"{1,2,3,4,5}",1,5
