ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the recorded maximum velocity across teams,True,max,Velocity,max_velocity,1,1.0
G1,minimize_open_blocker_severity,Minimize the sum of blocker severities,True,min,Blocker,severity,1,1.0
G2,minimize_total_task_effort,Minimize total estimated effort of tasks,True,min,Task,effort,1,1.0
G3,maximize_story_points_completed,Maximize total user story points delivered,True,max,UserStory,story_points,1,1.0
G4,maximize_sprint_goal_achievement,Maximize achievement of sprint goals,True,max,Sprint,achievement_of_goal,1,1.0
G5,minimize_feature_estimated_effort,Minimize total estimated effort of selected features,True,min,Feature,estimated_effort,1,1.0
G6,minimize_project_budget_usage,Minimize the combined project budget used,True,min,Project,budget,1,1.0
G7,maximize_team_satisfaction,Maximize team satisfaction measured in retrospectives,True,max,SprintRetrospective,team_satisfaction,1,1.0
G8,maximize_stakeholder_relevance,Maximize relevance of engaged stakeholders for features,True,max,Stakeholder,relevance_to_feature,1,1.0
G9,minimize_sprint_backlog_total_effort,Minimize total effort recorded in the sprint backlog,True,min,SprintBacklog,total_effort,1,1.0
G10,maximize_review_attendance,Maximize number of attendees in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
G11,minimize_product_backlog_entries,Minimize number of entries in the product backlog,True,min,ProductBacklog,number_of_entries,1,1.0
