ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_availability,Maximize the overall availability of all team workers,True,max,Worker,availability,2,1.0
G1,minimize_project_budget,Minimize the total budget spent on the project,False,min,Project,budget,2,1.5
G2,maximize_feature_priority,Maximize the number of high-priority features delivered,True,max,Feature,priority,2,1.2
G3,minimize_blocker_severity,Minimize the severity level of active blockers,True,min,Blocker,severity,2,0.9
G4,maximize_velocity_avg,Maximize the average velocity of the team,False,max,Velocity,avg._story_points,2,1.0
G5,minimize_sprint_duration,Minimize the duration of sprint planning meetings,True,min,SprintPlanning,duration_(min),2,0.8
G6,maximize_story_points,Maximize the sum of story points completed per sprint,True,max,UserStory,story_points,2,1.1
G7,minimize_task_effort,Minimize the total effort estimated for all tasks,True,min,Task,effort,2,1.0
G8,maximize_stakeholder_influence,Maximize engagement from high-influence stakeholders,True,max,Stakeholder,influence_level,2,0.7
G9,maximize_goal_achievement,Maximize the achievement status of sprint goals,True,max,SprintGoal,achievement_status,2,1.3
