ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision to assign a worker to a task,Integer,"{0,1}",0,1
DV1,select_feature_for_sprint,Binary decision to include a feature in a sprint,Integer,"{0,1}",0,1
DV2,allocated_budget,Continuous amount of budget allocated to a feature,Real,"Real numbers",0,1000000
DV3,team_size,Integer number of workers in a team,Integer,"Integer numbers",3,12
DV4,sprint_duration,Integer length of a sprint in days,Integer,"Integer numbers",7,30
DV5,worker_availability,Percentage of time a worker is available,Real,"Real numbers",0.5,1.0
DV6,story_point_estimate,Integer story points assigned to a user story,Integer,"Integer numbers",1,20
DV7,task_effort_estimate,Integer hours estimated for a task,Integer,"Integer numbers",1,40
DV8,blocker_severity_level,Ordinal level of a blocker's severity,Integer,"{1,2,3,4}",1,4
DV9,sprint_goal_achievement,Percentage of the sprint goal achieved,Real,"Real numbers",0.0,1.0
