ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether a team is assigned to a project,binary,"{0,1}",0,1
DV1,assign_worker_to_team,Whether a worker is assigned to a team,binary,"{0,1}",0,1
DV2,assign_user_story_to_sprint_backlog,Whether a user story is placed into a sprint backlog,binary,"{0,1}",0,1
DV3,select_feature_for_release,Whether a feature is included in a release plan,binary,"{0,1}",0,1
DV4,choose_scrum_master_for_team,Whether a Scrum Master is linked to a team,binary,"{0,1}",0,1
DV5,choose_product_owner_for_backlog,Whether a Product Owner manages a backlog,binary,"{0,1}",0,1
DV6,prioritize_user_story,Assigned priority (discrete scale) for a story,integer,"{1,2,3,4,5}",1,5
DV7,allocate_budget_to_project,Budget amount allocated to a project,real,"[0,1000000]",0,1000000
DV8,set_task_effort,Estimated effort for a task (Fibonacci),integer,"{1,2,3,5,8,13,21}",1,21
DV9,set_sprint_number,Sprint identifier within a project,integer,"[1,100]",1,100
DV10,set_team_size,Configured team size,integer,"[3,15]",3,15
DV11,set_story_points,Story points assigned to a user story,integer,"{1,2,3,5,8,13}",1,13
