ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_productivity,Increase team productivity through effective sprint planning,False,max,Team,team_size,2,1.0
G1,minimize_blocker_impact,Reduce the impact of blockers on task completion,False,min,Blocker,severity,2,1.0
G2,maximize_sprint_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_of_goal,2,1.0
G3,maximize_feature_completion,Increase the number of completed features,False,max,Feature,status,2,1.0
G4,maximize_velocity,Increase the team's velocity over time,False,max,Velocity,avg._story_points,2,1.0
G5,minimize_sprint_duration_variability,Reduce variability in sprint durations,False,min,Sprint,duration,2,1.0
G6,maximize_stakeholder_satisfaction,Increase stakeholder satisfaction with product increments,False,max,Stakeholder,relevance_to_feature,2,1.0
G7,maximize_worker_availability,Increase worker availability for project tasks,False,max,Worker,availability,2,1.0
G8,minimize_budget_overrun,Reduce budget overruns for projects,False,min,Project,budget,2,1.0
G9,maximize_skill_utilization,Increase utilization of worker skills,False,max,Skill,level,2,1.0
G10,maximize_documentation_completeness,Increase completeness of feature documentation,False,max,FeatureDocumentation,change_log,2,1.0
G11,maximize_team_satisfaction,Increase team satisfaction through retrospectives,False,max,SprintRetrospective,team_satisfaction,2,1.0
G12,maximize_epic_completion,Increase the number of completed epics,False,max,Epic,status,2,1.0
G13,maximize_user_story_completion,Increase the number of completed user stories,False,max,UserStory,status,2,1.0
G14,minimize_task_effort_variability,Reduce variability in task efforts,False,min,Task,effort,2,1.0
G15,maximize_release_plan_completeness,Increase completeness of release plans,False,max,ReleasePlan,included_features,2,1.0
