Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization where both the objective function and constraints are linear.,Polynomial time solvable,Maximizing profit subject to resource constraints,10
9,Integer Programming,IP,Optimization with some or all variables constrained to be integers.,NP-hard,Scheduling workers in shifts,9
8,Mixed-Integer Linear Programming,MILP,Linear programming with some integer variables.,NP-hard,Production planning with fixed machine counts,8
7,Quadratic Programming,QP,Optimization with a quadratic objective and linear constraints.,Polynomial for convex case,Portfolio optimization,7
6,Nonlinear Programming,NLP,Optimization where objective or constraints are nonlinear.,Depends on problem; may be NP-hard,Chemical process optimization,6
5,Convex Optimization,CO,Special case of NLP where objective and feasible set are convex.,Polynomial time solvable,Least squares regression,5
4,Dynamic Programming,DP,Breaks problem into subproblems and solves recursively.,Varies; often pseudo-polynomial,Shortest path in a weighted graph,4
3,Stochastic Programming,SP,"Optimization under uncertainty, using probabilistic constraints or objectives.",Varies; often large-scale NP-hard,Financial planning under uncertainty,3
2,Combinatorial Optimization,CO,Optimization over discrete structures.,NP-hard in most cases,Traveling salesman problem,2
1,Multi-Objective Optimization,MOO,Optimizing multiple conflicting objectives simultaneously.,Varies; Pareto optimality often used,Balancing cost vs. performance,1
