ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,1 if a user story is assigned to the current sprint,Binary,{0,1},0,1
DV1,select_feature_for_release,1 if a feature is included in a given release plan,Binary,{0,1},0,1
DV2,activate_sprint_goal,1 if a sprint goal is selected for the sprint,Binary,{0,1},0,1
DV3,allocate_capacity_to_team,Proportion of capacity allocated to a team,Float,[0,1],0,1
DV4,assign_task_to_worker,1 if a task is assigned to a specific worker,Binary,{0,1},0,1
DV5,escalate_blocker,1 if a blocker is escalated for immediate resolution,Binary,{0,1},0,1
DV6,prioritize_feature,Priority rank (lower is higher priority) for a feature,Integer,ℤ,1,100
DV7,select_epic_for_planning,1 if an epic is selected into near-term planning,Binary,{0,1},0,1
DV8,allocate_budget_to_project,Normalized budget allocation share for a project,Float,[0,1],0,1
DV9,choose_scrum_master_for_team,1 if a scrum master is assigned to a team,Binary,{0,1},0,1
DV10,include_task_in_board,1 if a task is visible on the scrum board,Binary,{0,1},0,1
DV11,set_story_point_commitment,Committed story points for a user story,Integer,ℤ,0,100
