ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_assignment,Team assignment to projects,Boolean,{0,1},0,1
D1,product_owner_availability,Product Owner availability,Integer,{0,1,2,...,100},0,100
D2,sprint_goal_achievement,Sprint goal achievement status,Boolean,{0,1},0,1
D3,task_effort,Task effort,Integer,{0,1,2,...,100},0,100
D4,feature_priority,Feature priority,Integer,{1,2,3,...,5},1,5
D5,blocker_severity,Blocker severity,Integer,{1,2,3,...,5},1,5
D6,sprint_duration,Sprint duration,Integer,{1,2,3,...,30},1,30
D7,scrum_master_experience,Scrum Master experience,Integer,{1,2,3,...,10},1,10
D8,release_plan_status,Release plan status,Boolean,{0,1},0,1
D9,roadmap_objectives,Roadmap objectives,Integer,{0,1,2,...,10},0,10
D10,development_snapshot_test_status,Development snapshot test status,Boolean,{0,1},0,1
D11,feature_documentation_quality,Feature documentation quality,Integer,{1,2,3,...,5},1,5
D12,sprint_review_feedback,Sprint review feedback,Integer,{0,1,2,...,10},0,10
D13,team_velocity,Team velocity,Integer,{0,1,2,...,100},0,100
D14,product_backlog_entries,Product backlog entries,Integer,{0,1,2,...,100},0,100
