ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Minimize Project Duration,Reduce total time from project start to end,minimizeProjectDuration,Project,Min,🟢
G02,Maximize Team Velocity,Increase average story points completed per sprint,maximizeTeamVelocity,Velocity,Max,🟢
G03,Minimize Feature Effort,Keep total estimated effort of features as low as possible,minimizeFeatureEffort,Feature,Min,🟡
G04,Maximize Team Utilization,Ensure team members are optimally utilized across sprints,maximizeTeamUtilization,Team,Max,🟡
G05,Minimize Unresolved Blockers,Reduce number of unresolved blockers hindering task progress,minimizeBlockers,Blocker / Problem / Bug,Min,🟢
G06,Maximize Stakeholder Satisfaction,Increase satisfaction based on feedback in reviews,maximizeStakeholderSatisfaction,Sprint Review,Max,🟡
G07,Minimize Budget Usage,Stay within or below allocated project budget,minimizeBudget,Project,Min,🟢
G08,Maximize Skill Match,Assign employees with the most relevant skills to tasks,maximizeSkillMatch,Employee,Max,🟡
G09,Minimize Task Switching,Reduce context switching across different types of tasks,minimizeTaskSwitching,Task / Sub-Task,Min,🔴
G10,Maximize Goal Achievement Rate,Improve rate of sprint goals being achieved,maximizeGoalAchievementRate,Sprint Goal,Max,🟢
