ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Increase Team Velocity,Maximize the average story points completed per sprint,increase_velocity,Velocity,Max,🟢
G2,Minimize Defects,Reduce number of high-severity bugs detected,minimize_defects,Blocker / Problem / Bug,Min,🟢
G3,Maximize Customer Satisfaction,Improve stakeholder feedback scores,maximize_customer_satisfaction,Stakeholder,Max,🟢
G4,Minimize Time to Market,Shorten duration from project start to first release,minimize_time_to_market,Release Plan,Min,🟢
G5,Maximize Feature Throughput,Increase number of features delivered per release,maximize_feature_throughput,Feature,Max,🟡
G6,Minimize Budget Variance,Keep actual spend close to planned budget,minimize_budget_variance,Project,Min,🟢
G7,Maximize Team Utilization,Increase percentage of billable team hours,maximize_team_utilization,Worker / Employee,Max,🟡
G8,Minimize Technical Debt,Reduce count of known technical debt items,minimize_technical_debt,Product Backlog,Min,🟡
G9,Maximize Release Frequency,Increase number of releases per quarter,maximize_release_frequency,Release Plan,Max,🟡
G10,Minimize Sprint Spillover,Reduce number of carry-over stories to next sprint,minimize_sprint_spillover,Sprint,Min,🟢
G11,Maximize Documentation Coverage,Ensure features have complete docs,maximize_doc_coverage,Feature Documentation,Max,🟡
