ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision (0 or 1) to assign a specific worker to a specific task,Boolean,"{0,1}",0,1
DV1,select_user_story_for_sprint,Binary decision to include a user story in the next sprint backlog,Boolean,"{0,1}",0,1
DV2,set_feature_priority,Integer priority for a feature (1=lowest, 5=highest),Integer,"{1,2,3,4,5}",1,5
DV3,adjust_team_size,The number of workers to assign to a specific team,Integer,,3,9
DV4,allocate_effort_to_task,The amount of effort (in hours) to allocate for a task,Float,,1,40
DV5,set_sprint_duration,The duration of a sprint in calendar days,Integer,"{7,14,21,30}",7,30
DV6,set_story_points_for_user_story,Fibonacci scale story points for a user story,Integer,"{1,2,3,5,8,13}",1,13
DV7,assign_team_to_project,Binary decision to assign a whole team to a specific project,Boolean,"{0,1}",0,1
DV8,choose_blocker_severity,"Severity level for a new blocker (1=low, 3=critical)",Integer,"{1,2,3}",1,3
DV9,approve_project_budget,The total budget in currency units approved for a project,Float,,50000,2000000
DV10,select_feature_for_release,Binary decision to include a feature in the upcoming release plan,Boolean,"{0,1}",0,1
DV11,set_worker_availability,Percentage of a worker's time available for the project,Integer,,25,100
