ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,select_user_story,Whether a user story is selected for the sprint,binary,{0,1},0,1
DV1,assign_worker_to_task,Whether a worker is assigned to a task,binary,{0,1},0,1
DV2,choose_feature_for_release,Whether a feature is included in the next release,binary,{0,1},0,1
DV3,set_sprint_length_days,Chosen sprint length in days,integer,,7,30
DV4,allocate_budget_to_project,Budget allocated to a project this cycle,float,,0,1000000
DV5,set_team_size,Number of team members to staff the sprint,integer,,3,15
DV6,set_max_tasks_per_worker,Cap of tasks assigned per worker,integer,,1,10
DV7,assign_scrum_master_to_team,Whether a Scrum Master is assigned to a team,binary,{0,1},0,1
DV8,allow_overtime,Allowance flag for overtime in exceptional cases,binary,{0,1},0,1
DV9,set_review_attendees_target,Target number of Sprint Review attendees,integer,,0,100
DV10,set_velocity_target,Target velocity for forecasting,integer,,0,200
DV11,prioritize_epic_level,Priority bucket assigned to an epic,integer,,1,5
