Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization where both the objective function and constraints are linear.,Polynomial-time solvable,Maximizing profit with linear constraints on resources,10
9,Integer Programming,IP,Optimization where some or all variables are restricted to be integers.,NP-hard,Scheduling jobs with discrete time slots,9
8,Nonlinear Programming,NLP,Optimization where the objective function or constraints are nonlinear.,Varies; often harder than LP,Designing aerodynamic shapes,8
7,Mixed-Integer Linear Programming,MILP,Linear optimization with both integer and continuous variables.,NP-hard,Production planning with batch sizes,7
6,Quadratic Programming,QP,Optimization where the objective function is quadratic and constraints are linear.,Polynomial-time solvable for convex cases,Portfolio optimization,6
5,Convex Optimization,CO,Optimization where the objective function is convex and constraints form a convex set.,Polynomial-time solvable,Optimal resource allocation,5
4,Dynamic Programming,DP,Method for solving problems by breaking them down into simpler subproblems.,Varies; polynomial-time for some cases,Shortest path in a graph,4
3,Stochastic Programming,SP,Optimization under uncertainty with probabilistic constraints or objectives.,Varies; can be very hard,Planning under uncertain demand,3
2,Multi-Objective Optimization,MOO,Optimization with more than one conflicting objective.,Varies; solutions are Pareto-optimal,Balancing cost and performance in design,2
1,Combinatorial Optimization,CO,"Optimization over discrete, finite sets of solutions.",Often NP-hard,Traveling salesman problem,1
