"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","team_size","Number of team members","Integer","{5,10,15}",5,15
"D1","sprint_duration","Sprint duration in days","Integer","{14,21,28}",14,28
"D2","feature_priority","Feature priority level","Integer","{1,2,3}",1,3
"D3","task_effort","Task effort in hours","Integer","{1,5,10}",1,10
"D4","stakeholder_influence","Stakeholder influence level","Integer","{1,2,3}",1,3
"D5","product_backlog_status","Product backlog status","Boolean","{0,1}",0,1
"D6","release_plan_deviation","Release plan deviation percentage","Float","[0,10]",0,10
"D7","team_collaboration","Team collaboration level","Integer","{1,2,3}",1,3
"D8","development_snapshot_quality","Development snapshot quality level","Integer","{1,2,3}",1,3
"D9","feature_documentation_quality","Feature documentation quality level","Integer","{1,2,3}",1,3
"D10","scrum_board_complexity","Scrum board complexity level","Integer","{1,2,3}",1,3
"D11","sprint_review_feedback","Sprint review feedback level","Integer","{1,2,3}",1,3
"D12","blocker_severity","Blocker severity level","Integer","{1,2,3}",1,3
"D13","sprint_goal_achievement","Sprint goal achievement level","Integer","{1,2,3}",1,3
"D14","task_dependencies","Task dependencies level","Integer","{1,2,3}",1,3
