"Keyword","Category","Description","RelevantScrumEntities"
"Requirement Extraction","NLP Task","Extracting functional and non-functional requirements from text","Product Backlog, User Stories"
"Named Entity Recognition","NLP Technique","Identifying entities (e.g., actors, objects) in requirement text","User Stories, Acceptance Criteria"
"Part-of-Speech Tagging","NLP Technique","Identifying parts of speech (e.g., nouns, verbs) in requirement text","User Story Parsing"
"Dependency Parsing","NLP Technique","Analyzing grammatical structure of requirement text","Requirement Complexity Analysis"
"Sentiment Analysis","NLP Technique","Analyzing stakeholder sentiment towards requirements","Product Owner, Stakeholder Feedback"
"Topic Modeling","NLP Technique","Identifying underlying themes in requirement text","Product Backlog Prioritization"
"Text Classification","NLP Task","Classifying requirements into categories (e.g., functional, non-functional)","Requirement Categorization"
"Information Retrieval","NLP Task","Retrieving relevant requirements from large datasets","Product Backlog Management"
"Automated Requirement Prioritization","NLP Application","Prioritizing requirements based on NLP analysis","Product Owner, Sprint Planning"
"Complexity Metrics","NLP Application","Calculating complexity metrics (e.g., cyclomatic complexity) for requirements","Sprint Planning, Task Estimation"
"Requirement Ambiguity Detection","NLP Application","Detecting ambiguous requirements using NLP analysis","Product Owner, Requirement Refinement"
