"Rank","Name","Abbreviation","Description","Solvability","Example","Appearances"
"1","Linear Programming","LP","Optimize linear objective function subject to linear constraints","High","Production planning, Resource allocation","10"
"2","Integer Programming","IP","Optimize linear objective function subject to linear constraints with integer variables","Medium","Scheduling, Resource allocation","8"
"3","Nonlinear Programming","NLP","Optimize nonlinear objective function subject to nonlinear constraints","Low","Chemical process optimization, Portfolio optimization","7"
"4","Dynamic Programming","DP","Break down complex problems into smaller subproblems and solve recursively","High","Shortest path problems, Knapsack problems","6"
"5","Stochastic Programming","SP","Optimize problems with uncertain parameters","Medium","Financial portfolio optimization, Supply chain management","5"
"6","Quadratic Programming","QP","Optimize quadratic objective function subject to linear constraints","High","Portfolio optimization, Control systems","5"
"7","Mixed-Integer Linear Programming","MILP","Optimize linear objective function subject to linear constraints with integer and continuous variables","Medium","Supply chain management, Scheduling","4"
"8","Mixed-Integer Nonlinear Programming","MINLP","Optimize nonlinear objective function subject to nonlinear constraints with integer and continuous variables","Low","Process optimization, Design optimization","3"
"9","Convex Optimization","CO","Optimize convex objective function subject to convex constraints","High","Signal processing, Machine learning","3"
"10","Semi-definite Programming","SDP","Optimize linear objective function subject to linear matrix inequalities","High","Control systems, Signal processing","2"
